DishTitle,Ingredients,Instructions,Published,Rating,Reviews
Fruit Salad with Thousand-Flavor Syrup,"¼ cup sugar,½ vanilla bean, split lengthwise,3 wide strips lemon zest,3 green cardamom pods, lightly crushed,1 whole star anise,5 juniper berries,1 teaspoon Sichuan peppercorns,1 teaspoon pink peppercorns,¼ cup dried rose petals,2 tablespoons dried hibiscus flowers or hibiscus tea,1 small apple, cut lengthwise into 4 slices,1 small pear, cut lengthwise into 4 slices,6 strawberries, halved,¼ rhubarb stalk, thinly sliced crosswise,12 black currants,6 ounces blackberries (about 1 cup),6 ounces raspberries (about 1 cup),Star anise, green cardamom pods, pink peppercorns, vanilla bean, and rose petals (for serving)","Bring sugar and 2 cups water to a boil in a medium saucepan, stirring to dissolve sugar. Remove from heat; scrape in seeds from vanilla bean, then add pod along with lemon zest, cardamom pods, star anise, juniper berries, Sichuan peppercorns, pink peppercorns, rose petals, and hibiscus. Let sit until flavors are infused, 20–25 minutes. Strain through a fine-mesh sieve into a medium bowl; discard solids. Chill syrup until cold.,Do Ahead:, Syrup can be made 4 days ahead. Keep chilled.,Artfully arrange apple, pear, strawberries, rhubarb, currants, blackberries, and raspberries in shallow bowls, dividing evenly. Pour chilled syrup into bowl. Garnish with star anise, cardamom, pink peppercorns, vanilla bean, and rose petals.",July 2015,4.7,
Peach-Blackberry Camp Cake,"2 cups all-purpose flour,¾ cup granulated sugar,1 teaspoon baking powder,½ teaspoon baking soda,¾ teaspoon kosher salt,4 peaches, halved, pitted,2 tablespoons bourbon,Pinch of kosher salt,6 tablespoons demerara or dark brown sugar, divided,Vegetable oil (for foil),1 large egg,¾ cup buttermilk,1 teaspoon vanilla extract,½ cup (1 stick) unsalted butter, room temperature,6 ounces blackberries (about 1 cup),⅓ cup coarsely chopped unsalted, roasted almonds,1 cup plain Greek yogurt,7-quart Dutch oven or other large cast-iron Dutch oven with a flanged lid or 10-inch springform pan","Whisk flour, granulated sugar, baking powder, baking soda, and salt in a medium bowl; transfer to a large resealable plastic bag for storage and transport.,Do Ahead:, Cake mix can be made 1 week ahead. Store at room temperature.,If camping, build a fire in a pit and let it burn down until coals are covered with ash. Rake a layer of coals away to one side of fire. Alternatively, if baking at home, preheat oven to 375°.,Toss peaches, bourbon, salt, 2 Tbsp. demerara sugar, and 2 Tbsp. water on a 20x12"" sheet of heavy-duty foil, then fold edges up and over to create a packet; pinch edges closed. Cook on a grate over coals, adding a splash or two of water halfway through if needed, until soft, 20–30 minutes. Let peaches cool slightly; coarsely chop.,Line a Dutch oven with 2 layers of heavy-duty foil; lightly oil foil. Combine egg, buttermilk, and vanilla in a measuring glass or small bowl. Place cake mix in a large bowl and vigorously stir in butter and ¼ cup buttermilk mixture, adding a bit more buttermilk mixture if needed, until a very thick paste forms. Stir in remaining buttermilk mixture, then add blackberries and peaches along with any juices and gently fold in just until mixture looks marbled. Scrape batter into Dutch oven; top with almonds and sprinkle with 2 Tbsp. demerara sugar. Cover.,Place Dutch oven directly in coals and set 18 hot briquettes (or scoop about a 1"" layer of fine coals) on top of lid. Bake, rotating lid every 10 minutes (for even baking) and replenishing coals as needed, until cake is firm to the touch when gently pressed, 25–30 minutes.,Just before serving, place yogurt in a small bowl and sprinkle remaining 2 Tbsp. demerara sugar over top. Let sit until sugar dissolves, about 5 minutes.,Serve warm cake upside down and dolloped with yogurt.",July 2015,3.9,
Steamed Mussels with Tomato and Chorizo Broth,"2 ounces dried Spanish chorizo, casing removed, thinly sliced,2 tablespoons olive oil, plus more for drizzling,3 garlic cloves, crushed,1 teaspoon fennel seeds, crushed,1 pint cherry tomatoes, halved,¾ cup dry white wine,Freshly ground black pepper,4 pounds mussels, scrubbed, debearded,4 slices thick country-style bread, toasted,2 tablespoons chopped fresh tarragon or parsley","Heat chorizo and 2 Tbsp. oil in a large heavy pot over medium, stirring occasionally, until chorizo begins to brown and crisp, about 4 minutes. Add garlic and fennel seeds and cook, stirring, until fragrant, about 1 minute. Add tomatoes and wine and bring to a simmer; season with pepper. Cook until reduced by three-quarters, 6–8 minutes.,Add mussels. Cover and cook, stirring occasionally, until mussels open, 6–8 minutes. Discard any mussels that don’t open. Drizzle toast with oil. Serve mussels topped with tarragon with toast alongside.",July 2015,4.05,
Savory Cherry Crostini,"2 tablespoons olive oil,3 cups halved pitted sweet cherries,Kosher salt and freshly ground black pepper,8 baguette slices, toasted,Aged goat cheese","Heat oil in a large skillet, preferably cast iron, over high. Add cherries and cook, stirring often, until lightly browned in spots and softened but not falling apart, about 5 minutes. Season with salt and pepper. Spread baguette slices with goat cheese and top with a spoonful of cherries.",July 2015,3.5,
Shrimp Salad with Cucumber and Fennel,"2 pounds small shell-on shrimp,Kosher salt,2 fennel bulbs, sliced crosswise ¼-inch thick, fronds reserved,1 English hothouse cucumber, sliced ¼-inch thick,1 small red onion, very thinly sliced into rings,1 tablespoon finely grated lemon zest,¼ cup (or more) fresh lemon juice,Coarsely ground black pepper,⅓ cup olive oil,½ cup small dill sprigs","Cook shrimp in a large pot of simmering salted water until bright pink and cooked through, about 3 minutes. Drain and let cool.,Peel and devein shrimp and place in a large bowl. Add fennel, fennel fronds, cucumber, onion, and lemon juice and toss to combine; season with salt and pepper. Drizzle with oil and toss to coat. Add dill and lemon zest and toss again; season with salt, pepper, and more lemon juice, if desired. Top with more pepper just before serving.,Do Ahead:, Salad can be made 4 hours ahead. Cover and chill.",July 2015,3.63,"Fantastic! I was apprehensive about the various flavors, but they combined beautifully!"
Salted and Spiced Melon,"2 pounds mixed melons (such as cantaloupe, Charentais, or honeydew), cut into 1-inch wedges,1 lemon, halved,2 tablespoons flaky sea salt,2 tablespoons smoked sea salt,1 tablespoon Aleppo pepper,1 tablespoon crushed pink peppercorns,1 tablespoon sumac",Arrange melons on a platter and squeeze lemon over. Place salts and spices in separate small bowls or ramekins and serve with melons for sprinkling over.,July 2015,,
Pork Loin with Cherry Vinaigrette,"2 tablespoons vegetable oil,1 1½-pound pork tenderloin,Kosher salt and freshly ground black pepper,2 cups quartered pitted sweet or sour cherries,2 tablespoons red wine vinegar,1 tablespoon olive oil,1 tablespoon whole grain mustard,1 bunch watercress, tough stems removed","Preheat oven to 400°. Heat oil in a medium skillet over high. Season pork with salt and pepper; cook, turning occasionally, until golden brown, 10–12 minutes.,Transfer pork to a rimmed baking sheet; roast in oven for 8 minutes. Transfer to a cutting board and let rest 10 minutes.,Meanwhile, toss cherries, vinegar, oil, and mustard in a medium bowl; season with salt and pepper.,Slice pork and serve with watercress and vinaigrette.",July 2015,2.6,
Grilled Sweet Potato Baba Ghanoush,"¼ cup olive oil, plus more,2 pounds sweet potatoes (about 2 medium),3 tablespoons fresh lemon juice,2 tablespoons tahini,½ garlic clove, finely grated,Kosher salt and freshly ground black pepper,Sumac, za’atar, crushed red pepper flakes, or Aleppo pepper; grilled flatbreads or pita bread (for serving)","Prepare a grill for medium-high heat; lightly oil grate. Grill sweet potatoes, turning occasionally, until skin is charred and flesh is fork-tender, 50–60 minutes. (Alternatively, you can tuck vegetables into coals left over from grilling something else. Wait until charcoal is completely covered with ash and no black spots remain. Shake grill to knock excess ash off coal, then rake them around and pile them up around vegetables.) Let cool slightly.,Halve sweet potatoes; scoop flesh into a food processor. Add lemon juice, tahini, garlic, and ¼ cup oil and process until smooth; season with salt and pepper.,Drizzle baba ghanoush with oil and top as desired. Serve with flatbreads or pita bread.,Do Ahead:, Dip can be made 3 days ahead. Cover and chill.",July 2015,3,
Day Tripper Cocktail,"1 bag strong black tea (such as Lipton),½ cup sugar,½ teaspoon dried lavender, lightly crushed,1½ cups vodka,¾ cup fresh lemon juice,Lemon wheels (for serving)","Bring ½ cup water to a simmer in a small saucepan. Remove from heat; add tea. Let steep 4 minutes. Discard tea bag. Add sugar and lavender; bring to a boil, stirring to dissolve sugar. Let cool. Strain syrup into a pitcher and chill until cold. Add vodka, lemon juice, and 1 cup water and chill again until cold. To serve, divide among ice-filled rocks glasses; garnish with lemon wheels.,Do Ahead:, Syrup can be made 4 days ahead; keep chilled. Cocktail can be made 1 day ahead; keep chilled.",July 2015,3.2,
Glazed Fried Chicken with Old Bay and Cayenne,"9.5 ounces kosher salt (1 cup Morton or 1⅔ cups Diamond Crystal),⅓ cup (packed) light brown sugar,¾ cup hot sauce (preferably Crystal),2 3½–4-pound chickens, cut into 8 pieces (legs and thighs separated, breasts halved), backbone and wing tips removed,4 cups all-purpose flour,6 tablespoons Old Bay seasoning,3 cups buttermilk,¾ cup lard,1 tablespoon Old Bay seasoning,2 teaspoons paprika,1½ teaspoons cayenne pepper,Vegetable oil (for frying; about 4 quarts),A deep-fry thermometer","Heat salt, brown sugar, and 4 cups water in a large pot over medium, whisking, until salt and sugar dissolve, about 5 minutes. Remove from heat and stir in hot sauce and 8 cups ice water. Add chicken to brine, cover, and chill 4 hours.,Combine 2 cups flour and 3 Tbsp. Old Bay seasoning in a shallow baking dish and toss with your fingers to evenly distribute seasoning. Place buttermilk in a medium bowl. Remove chicken from brine and pat dry with paper towels.,Working one at a time, dip 8 pieces of chicken in buttermilk, allowing excess to drip off, then coat in flour mixture, packing all around chicken and pressing firmly into cracks and crevices; shake off excess. Place chicken on a wire rack set inside a rimmed baking sheet. Discard flour mixture, which will be wet at this point, and repeat process with remaining flour, Old Bay, buttermilk, and chicken; place on another wire rack set inside a rimmed baking sheet. Chill, uncovered, 12–24 hours.,Let chicken stand at room temperature 30 minutes.,Heat lard, Old Bay, paprika, and cayenne in a small saucepan over low, stirring, until lard is melted, about 3 minutes. Set glaze aside.,Pour oil into a large pot fitted with deep-fry thermometer to come halfway up the sides. Heat over medium-high until thermometer registers 325°. Working in 4 batches, fry chicken, turning often with tongs and adjusting heat to maintain temperature, until skin is deep golden brown and an instant-read thermometer inserted into the thickest part of chicken registers 165° for dark meat and 160° for white meat, 10–12 minutes per batch. Transfer chicken back to wire racks and let rest 5 minutes. Brush lightly with glaze (reheat glaze, if needed) and let cool. Store on racks at room temperature up to 3 hours ahead.",July 2015,3.31,"Very flavorful. Way crunchy.,Amazing!"
Grilled Eggplant Baba Ghanoush,"Olive oil (for grill and drizzling),2 pounds Italian eggplants (4 medium),2 tablespoons fresh lemon juice,1 tablespoon tahini,½ garlic clove, finely grated,Kosher salt and freshly ground black pepper,Sumac, za’atar, crushed red pepper flakes, or Aleppo pepper; grilled flatbreads or pita bread (for serving)","Prepare a grill for medium-high heat; lightly oil grate. Grill eggplant, turning occasionally, until skin is charred and flesh is fork-tender, 25–35 minutes. (Alternatively, you can tuck vegetables into coals left over from grilling something else. Wait until charcoal is completely covered with ash and no black spots remain. Shake grill to knock excess ash off coal, then rake them around and pile them up around vegetables.) Let cool slightly.,Halve eggplant, scoop flesh into a colander set over a bowl, and let drain at least 15 minutes and up to 1 hour; discard liquid.,Pulse eggplant along with lemon juice, tahini, and garlic in a food processor until smooth; season with salt and pepper.,Drizzle baba ghanoush with oil and top as desired. Serve with flatbreads or pita bread.,Do Ahead:, Dip can be made 3 days ahead. Cover and chill.",July 2015,3.1,
Corn and Fregola with Grilled Halloumi Cheese,"1 cup walnuts,1 cup fregola or Israeli couscous,Kosher salt,4 ears of corn, husked,2 tablespoons plus ¼ cup olive oil, divided,Freshly ground black pepper,8 ounces Halloumi cheese, sliced lengthwise ¾-inch thick,3 scallions, thinly sliced,½ cup coarsely chopped fresh parsley,¼ cup basil leaves,¼ cup mint leaves,2 tablespoons fresh lemon juice,2 tablespoons (or more) white wine vinegar,Halloumi cheese can be found at Greek markets, natural foods and specialty foods stores, and some supermarkets.","Preheat oven to 350°. Toast walnuts on a rimmed baking sheet, tossing once, until golden brown, 8–10 minutes. Let cool, then coarsely chop.,Cook fregola in a large pot of boiling salted water according to package directions. Drain (do not rinse) and spread out on a baking sheet to let cool.,Prepare a grill for medium-high heat. Rub corn with 1 Tbsp. oil; season with salt and pepper. Grill, turning occasionally, until lightly charred and tender, 8–10 minutes. Transfer to a platter and let cool.,Meanwhile, brush cheese with 1 Tbsp. oil and grill, turning once, until lightly charred in spots, about 5 minutes. Transfer to platter with corn; let cool.,Cut kernels from cobs and place in a large bowl. Add scallions, parsley, basil, mint, walnuts, and fregola. Using your hands, tear Halloumi into bite-size pieces; add to bowl and toss to combine. Add lemon juice, vinegar, and remaining ¼ cup oil. Toss to coat; season with salt, pepper, and more vinegar, if desired.",July 2015,4.01,Perfect summer salad for picnics or to accompany grilled meats.  I think I made it 20+ this past summer. It was a huge hit no matter the crowd or occasion.  I found that lightly boiling the corn to keep it crisp provide a pop that was better than the effect from grilling the corn.  Lots of fresh herbs are key to this winning ticket.
Seared Black Bass with Scallion-Chile Relish,"4 tablespoons olive oil, divided,4 5–6-ounce skin-on black bass fillets,Kosher salt and freshly ground black pepper,1 bunch scallions, thinly sliced,1 serrano chile, thinly sliced,2 cups cilantro leaves with tender stems,2 tablespoons fresh lime juice,1 teaspoon toasted sesame seeds","Heat 2 Tbsp. oil in a large nonstick skillet over medium-high until very hot but not smoking. Season bass with salt and pepper and cook, skin side down, gently pressing occasionally with a spatula to ensure contact with skillet, until skin is browned and crisp and flesh is nearly opaque, 6–8 minutes. Turn and cook until flesh is opaque throughout, about 1 minute longer.,Meanwhile, toss scallions, chile, cilantro, lime juice, sesame seeds, and remaining 2 Tbsp. oil in a medium bowl; season with salt. Serve bass with scallion-chile relish.",July 2015,2.5,
"Butterflied Trout with Spicy Lettuce, Celery, and Herbs","½ jalapeño, with seeds, very finely chopped,1 tablespoon finely grated lime zest,1 tablespoon finely grated orange zest,Kosher salt,1 small shallot, thinly sliced into rings,¼ cup fresh orange juice,3 tablespoons fresh lime juice,1 tablespoon fish sauce (such as nam pla or nuoc nam),1 tablespoon soy sauce,Freshly ground black pepper,2 14–16-ounce whole butterflied rainbow trout,2 tablespoons vegetable oil,4 Little Gem, butter lettuce, or romaine hearts, leaves separated,2 celery stalks, preferably with leaves, leaves reserved, stalks thinly sliced on a diagonal,1 cup cilantro leaves with tender stems,½ cup mint leaves","Using the side of a chef’s knife, mash jalapeño, lime zest, and orange zest with a pinch of salt on a cutting board to a paste. Transfer to a medium bowl and mix in shallot, orange juice, lime juice, fish sauce, and soy sauce. Season dressing with salt and pepper.,Season trout with salt and pepper. Heat 1 Tbsp. oil in a large skillet over medium-high. Cook 1 trout, skin side down, until golden brown and crisp, about 4 minutes (flesh will be nearly cooked through). Remove from heat, turn fish, and let sit until cooked through, about 1 minute more. Transfer trout to a platter. Wipe out skillet; repeat with remaining trout and 1 Tbsp. oil.,Toss lettuce, celery, celery leaves (if using), cilantro, mint, and 3 Tbsp. dressing in a large bowl; season with salt and pepper. Top trout with salad and spoon remaining dressing over.",July 2015,3.3,
Grilled Eggplant and Lemons with Garlic Labneh,"Vegetable oil (for grill),½ small red onion, thinly sliced,3 small eggplants, sliced into ½-inch-thick rounds,1 tablespoon za'atar,5 tablespoons olive oil, divided,Kosher salt, freshly ground pepper,1 lemon, very thinly sliced,1 cup (packed) fresh mint leaves,1 tablespoon Sherry or white wine vinegar,1 small garlic clove, grated,1 cup labneh (Lebanese strained yogurt)","Prepare a grill for medium-high heat and lightly oil grate. Soak onion in ice water 10 minutes to mellow its flavor. Drain, pat dry with paper towels, and transfer to a medium bowl.,Meanwhile, toss eggplant, za’atar, and 3 Tbsp. olive oil in another medium bowl; season with salt and pepper. Grill eggplant, turning often, until tender and charred in spots, 5–8 minutes; transfer to a cutting board and let cool slightly. Halve any large rounds; set aside.,Toss lemon with 1 Tbsp. olive oil in a small bowl; season with salt and pepper. Grill lemon, turning often, until lightly charred in spots, about 2 minutes. Transfer to cutting board and let cool slightly. Cut lemon slices in half and add to bowl with onion. Stir in mint, Sherry, and remaining 1 Tbsp. olive oil; season with salt and pepper.,Mix garlic and labneh in another small bowl; season with salt and pepper. Spoon labneh mixture onto a platter and arrange eggplant and onion mixture over.",July 2015,3.19,"Beautiful use of eggplant. Prepared it on my cast iron stovetop grill in NYC quarantine and felt like summer. I didn't have labneh so I used Greek yogurt and sour cream.

Who gives one star because they aren't familiar with zaatar? ,This was a hit last weekend!  I actually did the eggplant and lemon grilling in the oven, on a cookie sheet, lower section, at 450 and results were great. As eggplants loose water double everything because people will have seconds... ,WTF is za'atar or whatever?,Love! Made this with black lentils on the side."
Grilled Tofu with Chimichurri,"2 14-ounce packages extra-firm tofu, drained, sliced into 8 pieces each,1 teaspoon cumin seeds,1 cup (packed) fresh parsley leaves,½ cup (packed) fresh cilantro leaves,2 tablespoons fresh oregano leaves,½ cup olive oil,2 tablespoons red wine vinegar,Kosher salt, freshly ground pepper,Vegetable oil (for grill),1 Fresno chile, thinly sliced,Flaky sea salt","Line a rimmed baking sheet with 2 layers of paper towels and top with a single layer of tofu. Top with 2 more layers of paper towels and weight with a heavy skillet or baking dish. Let sit 15 minutes to press excess liquid out of tofu, which will firm it up and make it easier to grill. Transfer tofu to a shallow baking dish.,Meanwhile, toast cumin seeds in a small skillet over medium heat, swirling pan often, until fragrant, about 2 minutes; set aside.,Blend parsley, cilantro, and oregano in a food processor until finely chopped. With the motor running, add olive oil in a steady stream and blend until well combined. Transfer herb mixture to a small bowl, stir in vinegar, and season with kosher salt and pepper. Pour chimichurri over tofu and turn to coat. Cover and chill at least 1 hour.,Prepare a grill for medium-high heat and lightly oil grate. Transfer tofu to grill, reserving chimichurri, and grill, turning often, until charred in spots, about 5 minutes per side; transfer to a platter. Top with reserved chimichurri, toasted cumin seeds, chile, and sea salt.,Do Ahead:, Tofu can be marinated up to 1 day ahead.",July 2015,3.2,
Grilled Cauliflower Steaks and Scallions,"1 large head cauliflower,6 tablespoons vegetable oil, divided, plus more for grill,1 bunch scallions, trimmed,Kosher salt, freshly ground pepper,1 1-inch piece ginger, peeled, grated,1 garlic clove,½ cup (packed) fresh cilantro leaves,2 tablespoons fresh lime juice,Gochugaru (Korean red pepper powder), toasted black sesame seeds, and sesame oil (for serving)","Remove leaves and trim stem of cauliflower, leaving core intact. Place cauliflower, core side down, on a work surface. Starting at the midline of the cauliflower, slice from top to bottom into four ½"" ""steaks"" (reserve any florets that break loose).,Prepare a grill for medium-high heat and lightly oil grate. Drizzle cauliflower steaks, florets, and scallions with 4 Tbsp. oil; season with salt and pepper. Grill scallions, turning occasionally, until charred in spots, about 2 minutes. Grill cauliflower steaks until tender and charred in spots, 8–10 minutes per side. Grill any loose florets in a grill basket, tossing often, until cooked through, 5–7 minutes.,Blend ginger, garlic, cilantro, lime juice, and remaining 2 Tbsp. oil in a food processor, thinning with water if needed, until sauce is the consistency of yogurt; season with salt.,Arrange cauliflower and scallions on a platter. Sprinkle with gochugaru and sesame seeds and drizzle with sesame oil. Serve with cilantro sauce alongside.",July 2015,3.4,
Margarita's Creole Chicken-Stuffed Mofongo,"Vegetable oil (for frying; about 8 cups),4 unripe plantains, peeled, sliced ½ inch thick (about 5 cups),2 garlic cloves, finely chopped,½ teaspoon adobo seasoning,Kosher salt, freshly ground pepper,½ green bell pepper, seeded, chopped,½ small yellow onion, quartered,2 garlic cloves,¼ cup chopped fresh cilantro leaves with tender stems,2 tablespoons olive oil,Pinch of crushed red pepper flakes,Kosher salt, freshly ground pepper,2 tablespoons olive oil,8 ounces skinless, boneless chicken thighs, cut into ½-inch pieces,Kosher salt, freshly ground pepper,1 small yellow onion, chopped,1 red bell pepper, seeded, chopped,½ green bell pepper, seeded, chopped,1 14.5-oz can diced tomatoes,1 14.5-oz. can tomato sauce,½ cup low-sodium chicken broth,½ cup chopped fresh cilantro leaves with tender stems, plus more for serving,Pork rinds (for serving; optional),A deep-fry thermometer; a mortar and pestle","Fit a large pot with deep-fry thermometer; pour in vegetable oil to a depth of 2"". Heat over medium-high until thermometer registers 375°. Fry plantains, turning occasionally, until golden brown, about 4 minutes. Transfer to a paper towel-lined rimmed baking sheet to drain. Using the bottom of a glass or small skillet, press plantains to flatten. Transfer flattened plantains to mortar and pestle and add garlic and adobo; season with salt and pepper. Mash until softened and well combined.,Pulse bell pepper, onion, garlic, cilantro, olive oil, and red pepper flakes in a food processor until finely chopped; season with salt and pepper.,Heat olive oil in a large pot over medium-high. Season chicken with salt and pepper and cook, turning occasionally, until browned, 5–7 minutes. Transfer chicken to a plate. Add sofrito to pot and cook, stirring occasionally, until fragrant and just beginning to darken, about 4 minutes. Add onion and both bell peppers and season with salt and pepper. Cook, stirring often, until vegetables begin to soften, about 3 minutes. Add chicken, diced tomatoes, tomato sauce, chicken broth, and ½ cup cilantro and bring to a simmer. Reduce heat to medium-low and cook, stirring occasionally, until vegetables are tender and cooking liquid is slightly reduced, 35–45 minutes.,Divide mofongo among 4 small bowls, pressing and molding into bottom and up sides of bowls. Fill with chicken stew and garnish with cilantro and pork rinds, if using.,Do Ahead:, Chicken stew can be made up to 3 days ahead. Cover and chill. Reheat over medium-low before serving.",July 2015,3.8,
Camille Becerra's Roasted Parsnip and Endive Salad,"4 parsnips (about 1 pound total), scrubbed, sliced ⅛ inch thick crosswise on a mandoline,1 teaspoon agave syrup,½ cup vegetable oil, divided,Kosher salt,¼ teaspoon (scant) chili powder, divided,3 tablespoons fresh lemon juice,1 teaspoon sugar,4 small Belgian endives, leaves separated,4 small white turnips, trimmed, thinly sliced on a mandoline,4 ounces blue cheese, shaved with a peeler,¼ cup chopped salted, roasted pistachios,Flaky sea salt","Preheat oven to 400°. Toss parsnips with agave and ¼ cup oil on a rimmed baking sheet; season with kosher salt and half of chili powder. Roast, turning once, until parsnips are tender when pierced with a paring knife but haven’t taken on any color, 10–15 minutes.,Meanwhile, whisk lemon juice, sugar, remaining chili powder, and remaining ¼ cup oil in a small bowl until sugar dissolves; season dressing with kosher salt.,Divide parsnips, endive leaves, turnips, and blue cheese among plates. Drizzle with dressing (save any extra for another salad), top with pistachios, and season with sea salt.",July 2015,4.1,
Ratatouille,"1 large globe eggplant, peeled, coarsely chopped,1 large zucchini, sliced into ¼-inch-thick rounds,2 teaspoons kosher salt, plus more,¾ cup olive oil, divided,5 sprigs thyme,1 large onion, halved, sliced ½ inch thick,1 red bell pepper, ribs and seeds removed, coarsely chopped,2 garlic cloves, thinly sliced,2 pints cherry tomatoes, divided,Freshly ground black pepper,1 cup torn basil leaves","Preheat oven to 400°. Toss eggplant, zucchini, and 2 tsp. salt in a colander. Let sit 30 minutes, then pat dry with paper towels.,Heat ¼ cup oil in a large Dutch oven or other heavy ovenproof pot over medium-high. Add half of eggplant and zucchini and cook, stirring constantly, until vegetables begin to take on color, about 5 minutes. Transfer to a medium bowl. Repeat with ¼ cup oil and remaining eggplant and zucchini.,Tie thyme sprigs together with kitchen twine. Heat remaining ¼ cup oil in same pot and cook onion, bell pepper, garlic, and thyme, stirring occasionally, until onion is beginning to brown and is softened, 8–10 minutes. Add half of tomatoes and cook, stirring occasionally, until just beginning to soften, about 5 minutes. Stir in zucchini and eggplant, then top with remaining 1 pint tomatoes (do not stir); season with salt and pepper. Transfer pot to oven and roast until all vegetables are softened and tomatoes have begun to burst, 15–20 minutes.,Remove thyme bundle. Transfer to a serving platter and top with basil.",July 2015,3.07,"This recipe opened my eyes to ratatouille. I make it every time I'm blessed with the ingredients. I've made multiple variations of it by now (different types of tomatoes, red bell pepper or not, basil or not) and basically just eyeball it at this point. It is my favourite meal to make, along with some fresh-baked sourdough bread. Thank you, BA.,Can I make this ahead and reheat? ,I love this recipe and have made it several times with produce from my garden. It's time consuming to get the browning on the zucchini and eggplant, but it makes a huge difference to the flavor. I haven't added basil at the end because the flavors are so perfectly balanced without it. I also slice my cherry tomatoes in half because I don't enjoy the pop of hot tomato juice, but that's just personal preference.,Super delicious. I was cautious with the olive oil and used Diamond Crystal salt, and everything was seasoned very well. The basil is a necessity! ,I tried this with my boyfriend last night! We decided to add slices of lemon in the dish right before putting it into the oven which added amazing flavour! Thinking of adding baby corn next time too for more of a crunch! My boyfriend loved it and I think I finally found the way to his heart! Gonna have an interesting night after this as a reward!,I keep coming back to this recipe over and over again. It is amazing. Although maybe using a little less oil and salt It's better. ,It's great for my keto diet. I add seasonings and salt by my intuition, I love it.,So oily and way too salty. I followed the recipe exactly and had high hopes. It didn’t taste as good as I had hoped. Too bad! ,This recipe is delicious. I used less olive oil, more garlic and dried thyme instead of fresh -- and served with a crisp flatbread to scoop. Will serve again without the basil because it overwhelms the subtle flavors. Can't wait to have the leftovers.,Just made this recipe, came out tasting amazing. I didn't have a dutch oven so I just transferred to a baking dish. Will definitely make again!,I don't have zucchini what can I replace it with for this recipe  I would really like to make it today I have everything else! ,Delicious. Mine was much less oily than the photo, perhaps because I added less oil. Didn’t have eggplant so subbed in sweet potato and added leftover baguette that I’d torn into chunks. I used this as a bed for a piece of fish and topped with rocket. So good. Needed a dollop of chilli because I’d been too heavy handed with the chilli flakes, as per. ,I am thrilled by this!  I have a Ratatouille recipe from a cookbook from 1978 with pretty much the same ingredients but it is made with tomato sauce not fresh tomatoes!   This is SUCH an improvement!!!!  I made it exactly as-is because it contains none of the food ingredients I have to avoid!  The vegetables taste phenomenal.  You won't be disappointed.,I skipped the peppers because, well, I hate peppers. Still worked! Would make again -- a great vegetarian main."
Indoor S'mores,"16 assorted graham crackers (regular, cinnamon, honey, or chocolate), broken in half crosswise,16 marshmallows,8 ounces assorted chocolate (milk, dark, or semisweet), broken into ½-ounce squares,1 cup strawberries, hulled, sliced,1 cup unsalted, roasted sliced almonds,1 cup toasted unsweetened coconut flakes","Preheat oven to 425°. Arrange 16 graham cracker halves in a single layer on a parchment-lined rimmed baking sheet, placing about ½"" apart. Set 1 marshmallow in the center of each cracker and bake until marshmallows are lightly golden on top and puffed, about 5 minutes. Remove from oven and immediately top each with 1 chocolate square. Let sit 5 minutes to allow chocolate to melt slightly.,Transfer s’mores to a platter and serve with strawberries, almonds, coconut, and remaining graham cracker halves alongside.",July 2015,3.74,"This worked perfectly.  I had two trays, so used 400 degree convection oven and at 4 minutes the marshmallows were soft, puffed and golden.  I used a variety of ghirardelli chocolate squares (which fit perfectly) and they looked and tasted fabulous. I made them a couple of hours in advance and they held perfectly.  I""m sure they'd be wonderful warm, but they were delicious, and less messy at room temp, and it gave me a chance to have them plated and out in advance. They were definitely the easiest dessert on the table and looked so pretty.  Everyone wanted the ""recipe"" and I was almost embarrassed they were so easy.  And, a breeze to clean up.  Biggest job was unwrapping the chocolate squares.  This is a keeper! "
BA's Best Lemonade,"½ cup sugar,3 lemons, zest removed in wide strips,¾ cup fresh lemon juice (from about 3 lemons),Lemon slices (for serving)","Bring sugar and ½ cup water to a boil in a medium saucepan, stirring occasionally, until sugar dissolves. Let cool 5 minutes. Add lemon zest and let sit 30 minutes to steep.,Strain lemon syrup through a fine-mesh sieve into a pitcher; discard zest. Add lemon juice and 3 cups water and stir to combine.,Serve lemonade over ice garnished with lemon slices.",July 2015,3.52,"Absolutely divine! Not too sweet, not too sour, and very easy to make. ,Delicious! Rather than mix in all the water at once, I diluted it in a ratio of 2 parts water to 1 part syrup/juice mixture as needed. The syrup/juice mixture can be stored in the fridge."
